time,latitude,longitude,mag,id,updated,place,type,geom,state
2014-03-30 06:37:43.7-04,36.1288,-97.6404,3.3,usc000nwm8,2015-01-28 22:43:52.677-05,"19km NNW of Crescent, Oklahoma",earthquake,0101000020AD100000F0164850FC6858C0C6DCB5847C104240,Oklahoma
2014-03-30 05:49:29.4-04,35.4911,-97.2465,3,usc000nwl5,2015-01-29 21:00:50.007-05,"2km ESE of Choctaw, Oklahoma",earthquake,0101000020AD100000B29DEFA7C64F58C06688635DDCBE4140,Oklahoma
2014-03-30 03:55:33.5-04,36.1288,-97.6438,3.5,usc000nwi0,2015-01-28 22:54:43.538-05,"20km NNW of Crescent, Oklahoma",earthquake,0101000020AD1000008C4AEA04346958C0C6DCB5847C104240,Oklahoma
2014-03-30 03:08:30.8-04,35.4923,-97.2471,3.4,usc000nwgf,2015-01-28 08:16:12.108-05,"2km ESE of Choctaw, Oklahoma",earthquake,0101000020AD100000DDB5847CD04F58C010E9B7AF03BF4140,Oklahoma
2014-03-29 06:11:18.9-04,35.4906,-97.2415,3.1,usc000nvq5,2015-01-29 16:13:27.159-05,"2km ESE of Choctaw, Oklahoma",earthquake,0101000020AD100000FA7E6ABC744F58C074B515FBCBBE4140,Oklahoma
2014-03-28 23:16:24.3-04,36.1673,-96.9819,3.2,usc000nvgm,2015-01-28 23:08:19.046-05,"8km NE of Stillwater, Oklahoma",earthquake,0101000020AD10000050FC1873D73E58C0764F1E166A154240,Oklahoma
2014-03-28 17:56:11.2-04,36.1257,-97.6329,3.1,usc000nv0d,2014-05-29 19:32:07-04,"19km N of Crescent, Oklahoma",earthquake,0101000020AD100000DC68006F816858C0B98D06F016104240,Oklahoma
2014-03-27 20:05:16.6-04,35.897,-97.286,3.2,usc000ntpw,2015-01-30 12:19:16.488-05,"6km SSW of Langston, Oklahoma",earthquake,0101000020AD100000FCA9F1D24D5258C0894160E5D0F24140,Oklahoma
2014-03-25 14:01:19.1-04,35.7427,-97.5558,3,usc000nppd,2015-01-28 16:38:07.871-05,"12km NW of Edmond, Oklahoma",earthquake,0101000020AD1000007AC7293A926358C09E5E29CB10DF4140,Oklahoma
2014-03-24 23:32:46.7-04,35.7693,-96.6517,3,usc000np5g,2015-01-30 02:51:37.314-05,"2km NNE of Stroud, Oklahoma",earthquake,0101000020AD10000068B3EA73B52958C00A68226C78E24140,Oklahoma
